"","state","suicideRate","nrc.anger.x","nrc.anticipation.x","nrc.disgust.x","nrc.fear.x","nrc.joy.x","nrc.sadness.x","nrc.surprise.x","nrc.trust.x","nrc.negative.x","nrc.positive.x","sentiment_neg.x","sentiment_pos.x","nrc.anger.y","nrc.anticipation.y","nrc.disgust.y","nrc.fear.y","nrc.joy.y","nrc.sadness.y","nrc.surprise.y","nrc.trust.y","nrc.negative.y","nrc.positive.y","withdrawal","nausea","episodes","attacks","irritability","headache","imbalance","drowsy","fun","play","helped","god","answer","wants","leave","beautiful","suffer","tolerance","agree","hate","helpful","haha","enjoy","social","talk","save","win","care","love","like","hold","cope","amazing","side...effects","doctor","doses","effective","prescribed","stimulant","psychotherapy","diagnosis","pills","toxicity","X40mg","drugs","life","home","woman","she","him","girl","game","men","friends","sexual","boy","someone","movie","jesus","house","music","religion","her","songs","bible","relationship","hell","young","style","church","lord","father","heaven","dating","depress","stress","alcohol","fuck","shit","lone","support","fake","suicide","hope","sentiment_neg.y","sentiment_pos.y","retail_recreation","grocery_pharmacy","parks","transit_stations","workplaces","residential","antidep","psych","psych.hos","drg","suic","phrase1","phrase2","phrase3"
"31","New Mexico",23.3,0.378787878787879,0.702020202020201,0.095959595959596,0.648989898989899,0.234848484848485,0.275252525252525,0.118686868686869,0.691919191919192,0.787878787878787,1.15656565656566,0.17558200050505,0.148257897651515,6,18,4,17,9,11,5,28,22,36,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,0,0,0,0,1,0,0,0,2,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2.0397802,2.84827023,-44,-18,-12,-31,-34,11,0.04,0.04,0.02,0.35,0.55,0,0,0
"32","New York",8.1,0.398214913138726,0.485864529180002,0.259179849170676,0.586414770638581,0.202961490378759,0.457584844693219,0.342091108597315,0.653906117542537,0.938211018770584,0.995173750849918,0.150779732628351,0.0963387473128226,270,337,169,403,147,312,221,458,634,700,0,0,1,4,0,0,0,0,5,24,0,1,3,2,2,0,1,0,1,2,0,0,1,23,5,5,17,39,7,30,9,0,1,0,4,0,1,0,0,0,0,0,0,0,0,17,19,8,19,14,1,2,78,3,2,0,5,1,0,4,1,0,96,0,0,2,4,3,4,1,0,0,0,0,0,0,0,6,3,0,11,1,0,3,101.669145018,62.639960198,-62,-32,-47,-68,-46,16,0.01,0.1,0.01,0.5,0.38,0.37,0.27,0.36
"33","North Carolina",14.3,0.492355889724311,0.736265664160401,0.303583959899749,0.812380952380952,0.29110275689223,0.538596491228071,0.309548872180451,0.719122807017544,1.11238095238095,1.13062656641604,0.155938448092581,0.0998232304461154,76,84,44,97,42,84,37,96,163,150,0,0,0,1,0,0,0,0,1,6,0,0,2,1,2,0,2,0,0,2,0,0,1,13,2,2,5,10,2,4,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,3,0,7,6,0,0,12,0,0,0,0,0,0,1,1,0,26,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,1,0,3,3,0,0,22.693884453,10.19356865,-40,-15,13,-51,-35,10,0.01,0.07,0.01,0.46,0.45,0.28,0.29,0.43
"34","North Dakota",20.1,1.08333333333333,0.5,0.875,1.66666666666667,0.125,1.16666666666667,1.125,0.583333333333332,2,1.33333333333333,0.0725483458333332,0.0140557829166667,11,5,8,15,2,13,12,10,22,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1.3876069,0.30718766,-44,-13,73,-36,-24,9,0.07,0.07,0,0.38,0.48,0,0,0
"35","Ohio",14.8,0.540437788018433,0.507776497695853,0.36434331797235,0.606797235023041,0.306970046082949,0.544585253456221,0.425921658986175,0.78410138248848,1.0690668202765,1.18294930875576,0.102728713720622,0.114334003670507,98,104,54,121,58,96,67,144,197,217,0,0,0,0,0,0,0,0,2,12,0,0,0,1,1,0,1,0,0,0,0,0,0,7,1,4,4,17,1,11,2,0,0,0,1,0,2,1,0,0,0,0,0,0,1,9,3,0,11,2,0,0,24,1,0,0,0,0,0,1,0,0,34,0,0,1,0,1,0,0,0,0,0,0,0,0,0,4,0,0,1,1,0,1,19.86415182,15.57061846,-43,-19,117,-33,-35,10,0.01,0.08,0.01,0.4,0.5,0.21,0.27,0.52
"36","Oklahoma",19.1,0.593073593073593,0.594227994227994,0.339538239538239,0.697258297258297,0.275324675324675,0.514574314574315,0.353679653679654,0.714285714285715,0.955988455988457,0.898412698412697,0.0981168171803753,0.0641845168686869,56,49,29,66,25,52,34,57,95,75,0,0,0,0,0,0,0,0,2,3,0,1,0,0,1,0,0,0,0,1,0,0,0,9,4,0,3,6,0,6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,0,2,0,0,0,5,0,0,0,0,0,0,0,2,0,16,0,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,10.21557817,6.2176828,-36,-12,29,-23,-32,9,0.02,0.08,0.01,0.39,0.5,0.67,0.33,0
"37","Oregon",19,0.468129795396419,0.62190537084399,0.260796035805627,0.706630434782609,0.299389386189258,0.561962915601023,0.433842710997442,0.948523017902814,1.13781010230179,1.1824584398977,0.125397821339898,0.117742134357097,69,83,33,86,40,73,50,96,141,136,0,0,0,0,0,0,0,0,4,8,0,0,0,0,0,0,1,0,1,1,1,0,1,4,3,0,4,12,1,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,1,1,3,0,1,24,0,0,0,0,0,0,1,0,0,26,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,4,0,1,0,0,2,16.39158259,13.6854055,-51,-25,-22,-47,-38,12,0.02,0.06,0.01,0.32,0.59,0,0.5,0.5
"38","Pennsylvania",15,0.547639555566385,0.545385711849127,0.315747666967179,0.766797227163081,0.221268365780561,0.548725664579324,0.505308106527619,0.787140298725666,1.2200653005531,1.06140627665018,0.148919700172133,0.146573056412971,89,95,43,131,34,102,65,129,190,172,0,0,0,0,0,0,0,0,1,6,0,0,1,1,0,0,1,0,4,2,0,0,0,4,2,1,36,16,0,12,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,3,3,0,1,25,6,0,0,0,0,0,1,0,0,28,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,2,1,0,0,19.49125797,21.92724893,-50,-27,7,-52,-38,12,0.01,0.1,0.01,0.37,0.51,0.27,0.46,0.27
"39","Rhode Island",11.8,0.55952380952381,0.446428571428572,0.446428571428572,0.529761904761905,0.482142857142857,0.821428571428572,0.607142857142857,0.577380952380953,1.18452380952381,1.42261904761905,0.246181547619047,0.0402778255952382,12,6,7,9,7,11,11,15,18,24,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.4545726,1.0892891,-55,-30,-50,-67,-37,14,0.04,0.14,0,0.4,0.42,0,0,0
"40","South Carolina",16.3,0.546988795518207,0.583263305322129,0.433566760037348,0.91281512605042,0.22546685340803,0.658216619981326,0.495704948646125,0.740873015873016,1.34012605042017,1.25669934640523,0.147819691346172,0.0288685668253968,30,36,20,51,17,38,21,45,77,72,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,2,4,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,12,0,0,1,0,0,0,0,0,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,8.22412277,2.3657487,-38,-11,-4,-34,-34,9,0.03,0.09,0.02,0.43,0.43,0,0,0
